order_id	order_item_id	brand_city	brand_state	brand_country	order_grand_total	order_shipping_charge	order_created	event_created	event_expiration_date	order_item_quantity	order_item_unit_price	order_item_total_price	order_item_name	order_item_bounds	customer_billing_state	customer_billing_country	customer_shipping_state	customer_shipping_country
1797804	9118809	Auckland		NZ	39.50	0.00	2015-10-01 00:00:24	2015-09-25 23:17:54	NULL	1	39.50	39.50	Full Resolution - Approx 2-4MB (Digital Media)	NULL	NULL	NULL	Auckland	NZ
1797805	9118810	Medford	OR	US	27.00	0.00	2015-10-01 00:00:52	2015-04-15 05:48:02	2015-09-30 07:00:00	1	15.00	15.00	(1) 8x10 (Headshot Prints)	0	OR	US	OR	US
1797805	9118811	Medford	OR	US	27.00	0.00	2015-10-01 00:00:52	2015-04-15 05:48:02	2015-09-30 07:00:00	1	15.00	15.00	(1) 8x10 (Headshot Prints)	0	OR	US	OR	US
1797806	9118812	Harrah	OK	US	9.00	0.00	2015-10-01 00:00:58	2015-09-29 08:25:36	NULL	1	3.00	3.00	Full Resolution (Digital Media)	NULL	OK	US	OK	US
1797806	9118813	Harrah	OK	US	9.00	0.00	2015-10-01 00:00:58	2015-09-29 08:25:36	NULL	1	3.00	3.00	Full Resolution (Digital Media)	NULL	OK	US	OK	US
1797806	9118814	Harrah	OK	US	9.00	0.00	2015-10-01 00:00:58	2015-09-29 08:25:36	NULL	1	3.00	3.00	Full Resolution (Digital Media)	NULL	OK	US	OK	US
1797807	9118815	Piedmont	OK	US	23.98	0.00	2015-10-01 00:01:30	2015-09-01 18:20:35	2015-11-08 06:00:00	1	13.00	13.00	2-5x7 (Packages)	0	OK	US	OK	US
1797807	9118816	Piedmont	OK	US	23.98	0.00	2015-10-01 00:01:30	2015-09-01 18:20:35	2015-11-08 06:00:00	1	9.00	9.00	Lustre (Prints)	0	OK	US	OK	US
1797808	9118817	NULL	NULL	US	20.00	0.00	2015-10-01 00:01:37	2015-09-21 19:12:08	2015-11-15 05:00:00	1	4.50	4.50	Lustre (Prints)	0	NULL	NULL	NY	US
1797808	9118818	NULL	NULL	US	20.00	0.00	2015-10-01 00:01:37	2015-09-21 19:12:08	2015-11-15 05:00:00	1	4.50	4.50	Lustre (Prints)	0	NULL	NULL	NY	US
1797808	9118819	NULL	NULL	US	20.00	0.00	2015-10-01 00:01:37	2015-09-21 19:12:08	2015-11-15 05:00:00	1	6.50	6.50	Round Button 3 in. (Products)	0	NULL	NULL	NY	US
1797808	9118820	NULL	NULL	US	20.00	0.00	2015-10-01 00:01:37	2015-09-21 19:12:08	2015-11-15 05:00:00	1	4.50	4.50	Lustre (Prints)	0	NULL	NULL	NY	US
1797809	9118821	Nashua	NH	US	40.00	0.00	2015-10-01 00:02:27	2015-09-27 21:13:54	NULL	1	10.00	10.00	Web Digitals (Digital Media)	NULL	NULL	NULL	MD	US
1797809	9118822	Nashua	NH	US	40.00	0.00	2015-10-01 00:02:27	2015-09-27 21:13:54	NULL	1	10.00	10.00	Web Digitals (Digital Media)	NULL	NULL	NULL	MD	US
1797809	9118823	Nashua	NH	US	40.00	0.00	2015-10-01 00:02:27	2015-09-27 21:13:54	NULL	1	10.00	10.00	Web Digitals (Digital Media)	NULL	NULL	NULL	MD	US
1797809	9118824	Nashua	NH	US	40.00	0.00	2015-10-01 00:02:27	2015-09-27 21:13:54	NULL	1	10.00	10.00	Web Digitals (Digital Media)	NULL	NULL	NULL	MD	US
1797810	9118825	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118826	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118827	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118828	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118829	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118830	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118831	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797810	9118832	Glendale	KY	US	39.87	5.95	2015-10-01 00:02:31	2015-09-29 01:21:33	2015-10-10 04:00:00	1	4.00	4.00	Lustre (Prints)	0	KY	US	KY	US
1797811	9118833	Fayetteville	NC	US	0.00	0.00	2015-10-01 00:03:06	2015-09-08 14:59:15	2015-10-03 04:00:00	1	25.00	25.00	Full Resolution (Digital Media)	NULL	NULL	NULL	NC	US
1797811	9118834	Fayetteville	NC	US	0.00	0.00	2015-10-01 00:03:06	2015-09-08 14:59:15	2015-10-03 04:00:00	1	25.00	25.00	Full Resolution (Digital Media)	NULL	NULL	NULL	NC	US
1797811	9118835	Fayetteville	NC	US	0.00	0.00	2015-10-01 00:03:06	2015-09-08 14:59:15	2015-10-03 04:00:00	1	25.00	25.00	Full Resolution (Digital Media)	NULL	NULL	NULL	NC	US
1797811	9118836	Fayetteville	NC	US	0.00	0.00	2015-10-01 00:03:06	2015-09-08 14:59:15	2015-10-03 04:00:00	1	25.00	25.00	Full Resolution (Digital Media)	NULL	NULL	NULL	NC	US
1797811	9118837	Fayetteville	NC	US	0.00	0.00	2015-10-01 00:03:06	2015-09-08 14:59:15	2015-10-03 04:00:00	1	25.00	25.00	Full Resolution (Digital Media)	NULL	NULL	NULL	NC	US
1797812	9118838	Germantown	TN	US	182.19	6.00	2015-10-01 00:03:37	2015-09-17 18:11:20	2015-11-30 06:00:00	1	20.00	20.00	Lustre - rounded corners (Prints)	0	TN	US	TN	US
1797812	9118839	Germantown	TN	US	182.19	6.00	2015-10-01 00:03:37	2015-09-17 18:11:20	2015-11-30 06:00:00	3	30.00	90.00	Lustre (Prints)	0	TN	US	TN	US
1797812	9118840	Germantown	TN	US	182.19	6.00	2015-10-01 00:03:37	2015-09-17 18:11:20	2015-11-30 06:00:00	1	20.00	20.00	Lustre (Prints)	0	TN	US	TN	US
1797812	9118841	Germantown	TN	US	182.19	6.00	2015-10-01 00:03:37	2015-09-17 18:11:20	2015-11-30 06:00:00	1	20.00	20.00	Lustre (Prints)	0	TN	US	TN	US
1797812	9118842	Germantown	TN	US	182.19	6.00	2015-10-01 00:03:37	2015-09-17 18:11:20	2015-11-30 06:00:00	1	10.00	10.00	Lustre (Prints)	0	TN	US	TN	US
1797813	9118843	Holliston	MA	US	58.13	5.00	2015-10-01 00:03:49	2015-08-12 19:41:10	2015-11-13 05:00:00	1	20.00	20.00	5x7 Archival Print (Prints)	0	NULL	NULL	MA	US
1797813	9118844	Holliston	MA	US	58.13	5.00	2015-10-01 00:03:49	2015-08-12 19:41:10	2015-11-13 05:00:00	1	30.00	30.00	Set of Wallets (8/set) (Prints)	0	NULL	NULL	MA	US
1797814	9118845	saginaw	MI	US	25.95	5.95	2015-10-01 00:04:22	2015-09-26 14:41:59	2015-10-05 04:00:00	1	10.00	10.00	Matte (Prints)	0	MI	US	MI	US
1797814	9118846	saginaw	MI	US	25.95	5.95	2015-10-01 00:04:22	2015-09-26 14:41:59	2015-10-05 04:00:00	1	10.00	10.00	Matte (Prints)	0	MI	US	MI	US
1797815	9118847	Dacula	GA	US	118.00	0.00	2015-10-01 00:07:21	2015-06-20 20:24:01	NULL	2	25.00	50.00	Lustre (PRINTS)	0	GA	US	GA	US
1797815	9118848	Dacula	GA	US	118.00	0.00	2015-10-01 00:07:21	2015-06-20 20:24:01	NULL	2	25.00	50.00	Lustre (PRINTS)	0	GA	US	GA	US
1797815	9118849	Dacula	GA	US	118.00	0.00	2015-10-01 00:07:21	2015-06-20 20:24:01	NULL	3	25.00	75.00	Lustre (PRINTS)	0	GA	US	GA	US
1797815	9118850	Dacula	GA	US	118.00	0.00	2015-10-01 00:07:21	2015-06-20 20:24:01	NULL	1	25.00	25.00	Lustre - square corners (PRINTS)	0	GA	US	GA	US
1797816	9118851	Blue Bell	PA	US	159.00	0.00	2015-10-01 00:07:37	2015-09-30 18:48:32	2015-10-14 04:00:00	1	150.00	150.00	Single Digital File (All Gallery Photos) (Digital Files)	NULL	PA	US	PA	US
1797817	9118852	El Mirage	AZ	US	103.37	4.00	2015-10-01 00:07:54	2015-06-23 22:56:11	2016-01-11 07:00:00	1	14.00	14.00	Lustre (Prints)	0	NULL	NULL	AZ	US
1797817	9118853	El Mirage	AZ	US	103.37	4.00	2015-10-01 00:07:54	2015-06-23 22:56:11	2016-01-11 07:00:00	1	14.00	14.00	Lustre (Prints)	0	NULL	NULL	AZ	US
1797817	9118854	El Mirage	AZ	US	103.37	4.00	2015-10-01 00:07:54	2015-06-23 22:56:11	2016-01-11 07:00:00	1	7.00	7.00	Lustre (Prints)	0	NULL	NULL	AZ	US
1797817	9118855	El Mirage	AZ	US	103.37	4.00	2015-10-01 00:07:54	2015-06-23 22:56:11	2016-01-11 07:00:00	1	14.00	14.00	Lustre (Prints)	0	NULL	NULL	AZ	US
1797817	9118856	El Mirage	AZ	US	103.37	4.00	2015-10-01 00:07:54	2015-06-23 22:56:11	2016-01-11 07:00:00	1	14.00	14.00	Lustre (Prints)	0	NULL	NULL	AZ	US
